"","x"
"customized",0
"customs",2.73215889136457
"cut",2.12808527889139
"cutbacks",0
"cutoff",0
"cutter",0
"cutting",1
"cva",0
"cyanide",0
"cycle",0
"cylinders",0
"cytokines",0
"daddy",0
"dai",0
"daily",3.49939818234738
"dale",0
"dallas",1.5
"damage",3.77800996454165
"damaged",2.96640101401069
"damages",5.17520881386057
"dampers",1
"dan",0
"dangerous",1.79248125036058
"dangling",0
"daniel",1.14883485428092
"darkened",0
"darl",0
"daryl",0
"data",4.44765221496068
"database",1.37095059445467
"databases",2.84237099317711
"date",5.23895501376953
"date”",1.67429394800621
"date<U+FFFD>",0
"dated",4.87396316594127
"dates",4.28593871239419
"daud",0
"daughter",1.58496250072116
"dave",0
"davenport",0
"david",2.8565168784408
"davis",0
"day",4.95812838858568
"day’s",0.91829583405449
"day”",1.5
"daylight",1
"days",5.26841561958325
"days’",1.25162916738782
"dba",0
"dct",0
"ddc",0
"ddd",0
"ddt",0
"deactivate",0
"deactivated",0
"deactivation",0
"dead",0
"deadband",0
"deadline",1.92192809488736
"deadlines",0
"deal",1.84237099317711
"dealer",2.8073549220576
"dealers",0
"dealing",3.24022392894185
"dealings",3.28103611255342
"dealt",2.25162916738782
"dean",1
"dear",2
"dearborn",0
"death",3.77962186683396
"debarment",0
"debarred",0
"debenture",1
"debentures",2.85538854220753
"debit",1.97493750120193
"debited",0
"debits",1
"deborah",0
"debris",2.32192809488736
"debt",3.04863886340344
"debt”",1
"debtor",2.87334044571627
"debtors",2.70355932395136
"debts",4.08035073188984
"dec",1.2987949406954
"deceased",0.865856617457224
"december",4.30981289054731
"deceptive",1
"decide",2.55665670746282
"decided",2.25162916738782
"decides",2.28415912785142
"deciding",0
"decimal",1.83659166810898
"decimals",0
"decision",4.87387143764166
"decisions",3.22109725005796
"deck",0
"declaration",3.20957438091705
"declarations",2.23592635062903
"declaratory",1.92192809488736
"declare",2.60160949705903
"declared",3.80540164273121
"declaring",0
"decline",2
"declined",2.32192809488736
"declines",2.25162916738782
"declining",1.309296668237
"decompile",0
"decompiling",0
"decorate",1
"decorating",1.5
"decoration",0
"decorations",1.89106111207265
"decrease",3.23194618813518
"decrease”",0
"decreased",2.5
"decreases",2.32192809488736
"decree",4.08073008531651
"decrees",2.18680859456305
"dedicate",0
"dedicated",2.25162916738782
"dedication",0.91829583405449
"deduct",4.08496250072116
"deducted",3.69806851205884
"deductible",3.01247989074556
"deductibles",2.23592635062903
"deducting",2.5220552088742
"deduction",3.38819615821741
"deductions",2.99203629979652
"deed",4.16919451299846
"deeds",2.42257976184249
"deem",3.7172574121263
"deemed",5.27091168686991
"deems",4.22716752230084
"deep",0
"def",0
"deface",2
"defacement",0
"defamation",0
"default",4.66094042407265
"default”",0
"defaulted",0.420026001688088
"defaulting",2.30938979030081
"defaults",4.04014736743434
"defeasance",1
"defease",0.811278124459133
"defeased",0
"defeat",1
"defeating",0
"defeats",0
"defect",3.74095326040484
"defective",2.25162916738782
"defects",3.47573150320419
"defences",0
"defend",4.66637775730356
"defendant",1.90563906222957
"defending",3.45482239994661
"defends",0
"defense",4.28160869437808
"defenses",3.79045177698953
"defer",3.375
"deference",0
"deferral",2.56544837182083
"deferred",3.64154277523371
"deferring",1
"deficiencies",3.08496250072116
"deficiency",3.56454047773699
"deficit",0
"define",3.16992500144231
"defined",5.1386562823823
"defining",1.5
"definition",4.0437526128558
"definitional",0
"definitions",5.01671958621835
"definitive",2.23592635062903
"definitively",0
"defraud",1.58496250072116
"defray",0
"degree",3.57262366389516
"degreed",0
"degrees",0
"deirdre",0
"dekatherm",0
"delaware",4.77498540467101
"delay",4.98256716105324
"delayed",4.25535882922106
"delaying",1
"delays",2.64170627757431
"delegate",3.62192809488736
"delegated",2.67033970023111
"delegates",0
"delegation",2.38989809546429
"delete",1.66449777920046
"deleted",3.41041725276052
"deletion",2.32192809488736
"deletions",0
"deli",0
"deliberate",0.811278124459133
"delievered",0
"delineated",1
"delinquency",2.66353275480425
"delinquent",2.60082187978816
"deliver",4.97768272934405
"deliverable",1.96096404744368
"deliverables",1.86382639009082
"delivered",4.93725364453061
"deliveries",2.15563906222957
"delivering",4.13753751126605
"delivers",3.34394270791827
"delivery",5.12817987155737
"demand",4.44127957424886
"demanded",1.5
"demanding",1
"demands",4.36515015642136
"dematerialised",0
"demerger",0
"demise",0
"demised",2.02380394020667
"demising",1.82306798227366
"demmo",0
"demonstrate",2.58496250072116
"demonstrated",2.25162916738782
"demonstrating",2.58496250072116
"demonstration",1.57095059445467
"demonstrations",0
"demote",1
"demotion",0
"demotions",0
"demurrage",0
"deng",0
"denial",3.15563906222957
"denials",0
"denied",2
"denies",0
"denigrate",0
"denmark",0
"dennis",1.40563906222957
"denominated",2.35221700146248
"denomination",0
"denominations",1.37095059445467
"denominator",3.08505510275648
"denote",0.816689088315021
"denoted",0
"denotes",0
"denoting",0
"density",0.91829583405449
"dental",1.40563906222957
"dented",0
"denver",1
"deny",2.94770277922009
"denying",0
"dep",0
"department",3.68360244918515
"departmental",0
"departments",2.29248125036058
"departure",2.14883485428092
"depend",0
"dependency",0.468995593589281
"dependent",2.12808527889139
"dependents",0.91829583405449
"depending",0
"depends",0
"depicted",0.721928094887362
"depiction",0.91829583405449
"depleted",0
"deposit",4.03047428024477
"depositary",1.55109817100726
"deposited",3.25474128435126
"depository",3.09579525500093
"deposits",3.20940201208279
"depreciate",0
"depreciation",3.26760131151206
"deprive",1.5
"deprived",0.91829583405449
"deprives",0
"dept",1
"deputy",0
"der",0.650022421648354
"derek",0
"derivations",0
"derivative",3.21921412997006
"derivatives",2.28415912785142
"derive",1
"derived",3.39214722366453
"deriving",1.58496250072116
"derogatable",0
"derogate",0
"derogated",0
"derrick",0
"descendants",0.91829583405449
"descent",0
"describe",2.61356838547554
"described",5.37836859555776
"describes",2.19715972342415
"describing",3.40136366919754
"description",4.28677818272162
"descriptions",1
"descriptive",0.811278124459133
"design",4.0219987574435
"designate",4.42912455107866
"designated",4.94422575465497
"designates",3.17512313511346
"designating",1
"designation",3.18728004638336
"designations",1.29176014818097
"designed",4.16595732094918
"designee",2.52707455315108
"designees",2
"designer",0
"designers",0
"designs",3.32486295761736
"desirability",0
"desirable",4.37737942609295
"desire",4.51471801682134
"desired",3
"desires",4.84629860272308
"desiring",2
"desirous",1
"desk",1
"desks",1.58496250072116
"desktop",0.91829583405449
"despatched",0
"despite",0
"destefano",0
"destination",0.228538143953528
"destroy",2.02018669684425
"destroyed",2.86658710582896
"destroying",0
"destruction",3.72172473816178
"desulfurization",0
"detached",1.92192809488736
"detail",4.12888407053764
"detailed",3.62117554291947
"detailing",1.58496250072116
"details",3.0690484393181
"detainer",2.71929452566698
"detect",0
"detected",1.58496250072116
"detection",0
"detention",0
"deterioration",1
"determinable",2.23592635062903
"determinant",0
"determination",4.67607660382293
"determinations",3.77143702946113
"determinative",0
"determine",4.98417714196651
"determined",5.05088436709566
"determines",4.56728339234501
"determining",4.76683548393929
"detract",1.58496250072116
"detriment",3.32192809488736
"detrimental",2.52192809488736
"detroit",0
"dettmer",0
"deutsch",0
"deutsche",0.91829583405449
"develop",2.10722571322807
"developed",3.47337711630589
"developer",0.91829583405449
"developing",0.811278124459133
"development",4.36725542892157
"development’s",0
"developments",1.84237099317711
"develops",0
"deviate",0
"deviation",0.721928094887362
"deviations",1
"device",2.18155251718885
"devices",2.73957226198672
"devised",0
"devlin",0
"devolution",0
"devote",0
"devoted",0
"dgcl",0
"dhereto",0
"dhhs",0
"dhl",0
"diagnose",0
"diagnostic",0.91829583405449
"diagonal",0
"diagrams",0
"dialers",0
"diameter",1
"diane",0
"dice",0
"dickerson",0.503258334775646
"die",0.91829583405449
"diego",0
"diem",0
"dies",1.92192809488736
"diesel",0.811278124459133
"differ",3.0220552088742
"difference",3.76031369731251
"differences",3.02698683335929
"different",4.71286976508159
"differential",0.591672778582327
"differentials",0
"differently",0
"differing",1.58496250072116
"differs",2.0588138903312
"difficult",1.92192809488736
"difficulties",1.58496250072116
"dig",0
"digital",1.65774272650489
"digitized",0
"dignity",0
"diligence",3.9050030276157
"diligent",2.36852252772821
"diligently",3.79458849664234
"dilute",0
"diluted",1.44547379934517
"dilutes",0
"diluting",0
"dilution",1.5
"dilutions",1
"dilutive",0
"dimension",0
"dimensions",1.5
"diminish",2.25162916738782
"diminished",2.23592635062903
"diminishes",0
"diminution",2.70281953111478
"dioxide",0
"dip",0
"direct",4.66343327092105
"directed",4.14110559044913
"directing",2
"direction",4.42651331957862
"directional",1
"directions",2.24643934467102
"directive",2.92192809488736
"directives",1.91829583405449
"directly",5.13947085997844
"director",4.45005595383755
"directories",0
"directors",4.49536190697769
"directors’",0.970950594454669
"directors”",0
"directory",2.18375483192392
"directs",1.84237099317711
"dirty",0
"dis",0
"disabilities",2.64643934467102
"disability",3.04903369580038
"disable",0
"disabled",2.25162916738782
"disabling",1
"disadvantage",1
"disadvantaged",0
"disadvantageous",0.91829583405449
"disaffirm",1.5
"disagree",0
"disagreement",1
"disagreements",0
"disagrees",0
"disallowance",0
"disapproval",2.27094242174854
"disapprove",1.55460976126557
"disapproved",0.91829583405449
"disapproves",1.92192809488736
"disassemble",1
"disassembly",0
"disaster",1.79248125036058
"disasters",1
"disavow",0
"disburse",0.91829583405449
"disbursed",2.82781953111478
"disbursement",3.14162108096146
"disbursements",3.89617463006964
"discharge",3.96337517715179
"discharged",3.56946535736295
"discharges",2.11328333429487
"discharging",0
"disciplinary",1.32217934551667
"discipline",1.25162916738782
"disciplined",0.91829583405449
"disclaim",1.5
"disclaimed",2
"disclaimer",2.64643934467102
"disclaims",1.5
"disclose",4.63418042568436
"disclosed",4.47862167803693
"disclosee",0
"disclosees",0
"discloser",0
"discloses",1.5
"disclosing",3.73987757457095
"disclosure",4.45650057864617
"disclosures",3.18200581476021
"discontinuance",1.90563906222957
"discontinuation",0
"discontinue",3.25162916738782
"discontinued",2.23592635062903
"discount",3.90251826628863
"discounted",1.89199548703902
"discounting",3.02716911844062
"discounts",3.74420356831181
"discourage",0
"discover",1
"discovered",2.72548055699787
"discoveries",2
"discovering",0
"discovery",3.15563906222957
"discreet",0
"discrepancy",2.64160416786859
"discretion",4.95969900957447
"discretionary",2.60623892865339
"discretions",0
"discriminate",1
"discriminated",0
"discrimination",2.41938194564637
"discriminatory",1
"discs",1
"discuss",3.89904013664544
"discussed",2.32192809488736
"discussing",0.91829583405449
"discussion",2.64643934467102
"discussions",3.5474337144373
"disease",0
"diseases",0
"disenfranchisement",0
"disfavoring",0
"disguise",0
"disguising",0
"dish",0.350103827866658
"dishes",0
"dishonest",0
"dishonesty",0.91829583405449
"dishonor",2.25162916738782
"dishonored",0
"dishwasher",0
"disinterested",1.5
"disk",0
"diskette",0
"disks",1
"dismiss",0
"dismissal",0.91829583405449
"dismissals",0
"dismissed",3.02716911844062
"disorder",1
"disorders",0
"disparage",0
"disparagement",0
"dispatch",1.5
"dispatched",0.970950594454669
"dispatcher",0
"dispensing",0
"displace",0
"displaced",1
"displacement",0.811278124459133
"display",2.20943203625482
"displayed",2.5
"displaying",1.58496250072116
"displays",2.84643934467102
"disposal",3.2371198516414
"disposals",0
"dispose",4.21347379405118
"disposed",4.33379987011787
"disposes",1
"disposing",3.23890125660263
"disposition",4.09366621361843
"dispositions",1.4913146570364
"dispossess",0
"dispossessed",0
"dispossession",0
"dispossessory",0
"disproportionate",1.58496250072116
"disproportionately",1.5
"dispute",4.64004448056513
"dispute”",0
"disputed",2.66120879797899
"disputes",4.70000880692018
"disputing",1.5
"disqualified",1.48547529722733
"disregard",0.721928094887362
"disregarded",2.37095059445467
"disregarding",1.92192809488736
"disrepute",0
"disrespect",0
"disrupt",0
"disrupted",0
"disruption",2.2858063886959
"disruptions",1
"disrupts",0
"disseminate",0
"dissimilar",1
"dissolution",3.55065518121504
"dissolve",1.92192809488736
"dissolved",2.25162916738782
"dissolves",0
"distant",0
"distillates",1
"distinct",1
"distinctive",0
"distinctively",0
"distinguished",1.58496250072116
"distrain",0
"distraint",1.58496250072116
"distress",0.91829583405449
"distributable",0
"distribute",3.52687795587443
"distributed",3.3871251585103
"distributees",0
"distributes",1.58496250072116
"distributing",2.72548055699787
"distribution",4.0807616448971
"distributions",2.45143339736294
"distributor",0.105601505943755
"distributors",1.25162916738782
"district",3.45967246999554
"districts",0.91829583405449
"disturb",2.52192809488736
"disturbance",3.01307092910384
"disturbances",1.52192809488736
"disturbed",2.32192809488736
"disturbing",0
"ditch",0
"ditches",0
"diverse",0
"diversified",0
"diversion",0
"diversity",0
"divert",0
"divest",0
"divested",0
"divestiture",0.811278124459133
"divests",0
"divide",0.91829583405449
"divided",3.22328979866814
"dividend",2.73807775715715
"dividends",3.21826002439739
"dividing",3.32636040795269
"division",4.19715972342415
"divisional",1
"divisions",3.25162916738782
"divorce",1
"divorced",0
"divulge",1
"dixit",0
"dmo",0
"dmv",0
"dna",0
"dnas",0
"dock",1.61078454839968
"docket",0
"docks",1
"doctor",1.2987949406954
"doctrine",0
"doctrines",1
"document",3.6837514372089
"documentary",2.75343438618878
"documentation",4.0340267309323
"documentations",0
"documented",2.35987902873686
"documents",4.2965143762297
"documents”",1.89106111207265
"dodd",1
"dogs",1.92192809488736
"dollar",3.43631054283352
"dollars",4.1687791033813
"dolly",0
"domain",2.41358013655282
"domains",0.684038435639042
"domestic",3.0433405600249
"domicile",1.5
"dominion",1.29546184423832
"donald",0
"donate",0
"donation",0
"done",4.10135091725637
"dong",0
"dongles",0
"door",2.65505053941777
"doors",2.80726363225148
"doorways",1.58496250072116
"doreen",0
"dorman",0
"dormant",0
"double",1.68547529722733
"doubt",3.44870501429082
"doubtful",0
"doug",1
"douglas",0
"dougm",0
"dow",0
"downey",0
"downgrade",0
"downgrades",0
"download",0.985228136034252
"downloadable",0
"downloaded",0
"downloading",0
"downloads",0
"downs",0
"downspout",0
"downspouts",1
"downstream",0
"downtime",1.52192809488736
"downtown",0
"downward",0.591672778582327
"draft",3.12075054273134
"drafted",1.66449777920046
"drafter",0
"drafting",2.84535093662244
"drafts",2.87314067951313
"drag",0
"drain",1
"drainage",2
"drains",2.25162916738782
"draperies",0.91829583405449
"drapes",1
"draw",2.09287868934203
"drawdown",0
"drawer",0
"drawing",0.643355497588019
"drawings",2.56194638149122
"drawn",3.02236835890174
"draws",1.96096404744368
"dress",3.02192809488736
"drill",1.92192809488736
"drills",0
"drinking",2.58496250072116
"drive",3.60538854220753
"driver",1
"driver’s",0
"drivers",0.721928094887362
"driveway",0
"driveways",2.72192809488736
"drootenberg",0
"drop",0
"dropped",0
"drug",1.21156961216309
"drugs",1.85428587198725
"drums",0
"dry",1.14883485428092
"drying",0
"drywall",0
"dsra",0
"dsros",0
"dss”",0
"dtc",0.811278124459133
"dtd",0
"dual",1.37095059445467
"dubai",0
"ducting",0
"ducts",1
"due",5.01629090152579
"dues",1.82560519901694
"dulbecco",0
"dulles",0
"duly",4.99707957464856
"dump",0
"dumping",0
"dumpster",0
"dumpsters",0
"dunn",1
"duns",0
"duplicate",2.58496250072116
"duplication",2.56344256770416
"durability",0
"durable",0
"duration",3.82486295761736
"duress",1
"dust",1.91829583405449
"dusting",0
"dutch",0
"duties",4.42336856939493
"duty",4.08459738912137
"dvds",0
"dwac",0
"dwelling",0
"dwj",0
"eachtripadvisor",0
"eagan",0
"earlier",4.83357876505022
"earliest",3.57781953111478
"early",3.23643705100245
"earn",0.698827218552196
"earned",3.70679940779407
"earnest",1.58496250072116
"earning",0.970950594454669
"earnings",3.36566994935594
"earnout",0
"earnouts",1
"earns",0
"earnshaw",0
"earth",1
"earthquake",2.5218619553045
"earthquakes",2
"ease",2
"easement",2.54248269380973
"easements",2.91829583405449
"easily",0
"east",3.39599887053484
"easter",0
"easterly",0
"eastern",1.57095059445467
"easy",0
"easycgi",0
"ebay",0
"eberhardt",0
"ebitda",1.96708496412334
"ebitda”",1
"eci",0.970950594454669
"eckel",0
"economic",4.6569478183368
"economically",1.37095059445467
"economies",1
"economy",1
"edb",0
"eddy",0
"eden",0
"edi",0
"edible",1
"edicts",0
"edinburgh",0
"edit",1
"edith",0
"edition",1.7527152789797
"edmonton",0.91829583405449
"educate",0
"education",0.811278124459133
"educational",0
"edward",0.721928094887362
"eee",0
"effect",5.15042345802776
"effect”",0.954434002924965
"effected",3.74850765562238
"effecting",3.2946635862096
"effective",5.19992268946669
"effectively",3.42829408752215
"effectiveness",3.60145256939472
"effects",3.84922391239062
"effectuate",3.09579525500093
"effectuated",1.92192809488736
"effectuating",1
"effectuation",0
"efficiencies",0
"efficiency",1.22439444540599
"efficient",2.32192809488736
"efficiently",0
"effort",3.2483650467509
"efforts",4.86748603015626
"efp",0
"egencia",0
"eggo",0
"egregious",0
"egress",2.72192809488736
"ehereto",0
"eight",2.93178886953977
"eighteen",3.18872187554087
"eighth",1.58496250072116
"eighty",3.92149748204501
"either",5.42376472482437
"ejection",0
"elaine",0
"elapse",0
"elapsed",3.38158048830916
"elect",4.68038626553013
"elected",3.590631439024
"electing",2.25162916738782
"election",4.29558215592115
"elections",2.91829583405449
"electric",2.49220310720541
"electrical",3.06066089441364
"electricians",0
"electricity",3.20841115183715
"electro",0
"electromagnetic",0
"electronic",3.8741766940188
"electronically",2.15563906222957
"electronics",0
"elects",4.31478722793781
"element",1.09579525500093
"elements",2.67446086853611
"elevator",1.74741303953164
"elevators",2.39733491035252
"eleven",1
"eleventh",0
"eligibility",3.26638836695525
"eligible",3.40481951674881
"eliminate",3.60538854220753
"eliminated",2.94770277922009
"eliminating",0
"elimination",1.79248125036058
"eliminators",0
"elite",0
"ellis",1.9575547988659
"ellmore",0
"elm",0
"elong",0
"else",2.44643934467102
"elsewhere",3.71785046512643
"email",3.0403733936885
"emanate",1
"emanated",0
"emanating",0
"embargo",1
"embargoes",2.52164063634332
"embed",0
"embedded",1
"ember",0
"embezzlement",0
"embodied",1.66449777920046
"embodiments",1
"embody",0
"embodying",1.5
"emea",0
"emergencies",0
"emergency",3.95769543893267
"emerging",0
"emerick",0
"eminent",2.97287868934203
"emission",1.52192809488736
"emissions",1.64022392894185
"emit",0
"emmet",0
"empire",0
"employ",4.08273471742809
"employed",4.48644866716835
"employee",3.93390453314833
"employee’s",0
"employee”",0
"employees",4.51426377576624
"employer",2.031433134995
"employers",1.58496250072116
"employing",2.12808527889139
"employment",4.07015382113229
"empower",1.58496250072116
"empowered",1.5
"empowering",0
"emptied",0
"emption",1.58496250072116
"emptive",1
"empty",0
"emptying",0
"ems",0
"enable",3.72507052036418
"enables",0
"enabling",1.7527152789797
"enacted",3.8841550945958
"enacting",0
"enactment",0
"enactments",1.58496250072116
"enclosed",1.5
"enclosures",0.721928094887362
"encompass",0
"encompassed",0.73452992143947
"encounter",0
"encountered",0
"encourage",0
"encouraged",0
"encouraging",1
"encroach",1.5
"encroaches",0
"encroachment",1
"encroachments",0.91829583405449
"encrypt",0
"encryption",0
"encumber",3.45281953111478
"encumbered",2.58496250072116
"encumbering",2.64643934467102
"encumbrance",4.33706826529113
"encumbrancer",1
"encumbrances",3.44156145453192
"encumbrances”",0
"end",5.11625943543081
"endanger",1
"endangerment",0
"endeavor",1.45914791702724
"endeavoring",0
"endeavors",1.79248125036058
"endeavours",0
"ended",2.88764897471435
"ending",3.95867102237117
"endorse",2.22560519901694
"endorsed",3.27761343681912
"endorsee",0
"endorsement",3.64967344718674
"endorsements",3.04584164088517
"endorser",1.5
"endorsing",1.58496250072116
"ends",2.25
"enemy",2.58496250072116
"energy",2.5294881142662
"enforce",4.72371983654393
"enforceability",3.90005783208209
"enforceable",4.94157409347878
"enforced",4.19948593836157
"enforcement",4.40657363836705
"enforces",1
"enforcing",4.02126849490377
"engage",4.04491273323895
"engaged",4.38896435585249
"engagement",1.7527152789797
"engagements",0
"engages",2.58496250072116
"engaging",2.75
"engine",1
"engineer",1.84643934467102
"engineering",3.14998449503736
"engineers",2.33695370530627
"england",1.45914791702724
"english",3.18224955428752
"enhance",2.32192809488736
"enhanced",0.721928094887362
"enhancement",0.91829583405449
"enhancements",1.45914791702724
"enjoin",2.72548055699787
"enjoined",1
"enjoining",2.11328333429487
"enjoins",0.91829583405449
"enjoy",2.94770277922009
"enjoyed",1.25162916738782
"enjoyment",3.12276471780825
"enlarge",0
"enlarged",0
"enna",0
"enough",1
"enquire",0
"enquiry",0
"enroll",0
"enrolled",2.32192809488736
"enrolls",0
"enroute",0
"ensuing",0.91829583405449
"ensure",4.10868873793774
"ensuring",1.58496250072116
"entail",1
"entails",0
"enter",5.25835678180022
"entered",5.16553821764867
"entering",4.50860460787487
"enterprise",3.15147892289331
"enterprises",1.55665670746282
"enters",3.2946635862096
"entertainment",0.91829583405449
"entice",0.985228136034252
"entire",5.25534966863375
"entirely",3.50689059560852
"entirety",3.81008102052173
"entities",4.15287660190046
"entitle",4.05350885479768
"entitled",5.19518726157052
"entitlement",1.50644318782029
"entitlements",2.41938194564637
"entitles",0.91829583405449
"entitling",2.64643934467102
"entity",4.91111409231002
"entity’s",0
"entrance",2.91397707318275
"entrances",1.97174725712818
"entrepreneur",0
"entrepreneur’s",0
"entrepreneurs",0.94566030460064
"entries",2.7527152789797
"entrusted",1
"entry",4.11132164180685
"entryways",1
"enumerated",1.58496250072116
"enumeration",1
"envelope",0
"envelopes",0
"environment",3.1928705166359
"environmental",3.42299987625669
"environmentally",0
"enzymes",0
"epa",1.14883485428092
"epc",0
"epidemics",0
"episodes",0
"epker",0
"eps",0
"equal",5.0704824542029
"equality",1.58496250072116
"equalization",1.29546184423832
"equalize",0
"equally",3.46408351177038
"equals",1.92192809488736
"equates",0
"equipment",4.05287664713632
"equipments",0
"equipped",1.58496250072116
"equis",0
"equitable",4.53609668162108
"equitably",2.92192809488736
"equities",0
"equity",4.38776871017691
"equivalent",3.89502929947532
"equivalents",2.9990152958514
"equivalents”",0
"era",0
"erect",2.32192809488736
"erected",1.92192809488736
"erection",0
"eric",0
"ericsson",0
"erie",0
"erik",1
"erika",0
"erisa",2.46327289497243
"eroded",0
"erp",0
"error",2.72735360337211
"errors",2.82089850132961
"esap",0
"escalation",1
"escalations",1.92192809488736
"escalator",0
"escalators",0
"escaping",0
"escheatable",0.91829583405449
"escheatment",0
"escrow",1.99114624701934
"escrowed",0
"esg",0
"eshelman",0
"esop",0.91829583405449
"espionage",0
"esq",3.04638111294588
"esquire",0
"essence",3.65366068968819
"essential",2.52164063634332
"essentially",1
"est",0
"establish",4.56352788201102
"established",5.01749083803401
"establishes",2
"establishing",2.59546184423832
"establishment",3.29277019393699
"establishments",0
"estate",4.13859162335878
"estates",2.44643934467102
"estimate",3.25874958524248
"estimated",3.50697818678775
"estimates",1.75
"estimating",0
"estoppel",2.64079770360394
"etc",3.52159351100563
"eternity",0
"ethical",1
"ethics",0.970950594454669
"etsy",0
"eukaryotic",0
"euniverse",0
"euro",0
"eurocurrency",1.5
"eurodollar",0.230709955691476
"europe",1
"european",0.915117837107249
"euros",1
"evacuation",1.92192809488736
"evade",1.58496250072116
"evaluate",2.28103611255342
"evaluated",0
"evaluating",3.39274741044878
"evaluation",2.88954943086209
"evaluations",0
"evan",0
"evans",0
"eve",1.5
"even",4.78300028770976
"evenly",0.91829583405449
"event",5.31841729891633
"event”",0
"events",4.7454575409264
"ever",2.5
"evergreen",0.543564443199596
"everq",0
"every",4.56502945366336
"evicted",1
"eviction",2.66595732094917
"evidence",4.5206527544006
"evidenced",3.47213782677776
"evidences",1.7527152789797
"evidencing",3.89303011920955
"evolving",0
"exacerbated",0
"exact",3.20370169605735
"exactly",1
"exam",0
"examination",3.8629592086375
"examinations",2.12808527889139
"examine",3.3502090290999
"examined",2.58496250072116
"examiner",0
"examining",0.821338806637957
"example",3.21052702635429
"examples",1
"excavate",0
"excavation",0
"exceed",4.74877017851995
"exceeded",1.5
"exceeding",3.457053104791
"exceeds",4.4786227555892
"except",5.18578139000436
"excepted",3.2866294867862
"excepting",2.15563906222957
"exception",3.41160221797467
"exceptional",0.954434002924965
"exceptionally",0
"exceptions",3.61955927061137
"excess",4.61274836570972
"excessive",2.84535093662244
"excessively",1
"exchange",4.6890024083151
"exchangeable",3.01383068054393
"exchanged",2.12808527889139
"exchanges",2.15563906222957
"exchanging",1
"excise",3.17281073351986
"excises",0
"excitement",2
"exclude",3.7887549139935
"excluded",3.85019496564829
"excludes",2.32192809488736
"excluding",4.33879229565505
"exclusion",3.83326968951511
"exclusions",1.65774272650489
"exclusive",4.45219273147617
"exclusively",4.08545089158821
"exclusivity",1.5
"exculpation",1.5
"exculpatory",0.811278124459133
"excuse",2.75
"excused",3
"exec",0
"executable",0
"execute",5.14021817126786
"executed",5.28032616054298
"executes",2.9689185639621
"executing",4.37606000950161
"execution",5.2645994757651
"executive",3.1053740002043
"executive’s",0
"executives",0.904820246097456
"executor",2.23592635062903
"executors",3.85216872360328
"executory",0
"exemplary",2.32192809488736
"exempt",3.27383377420778
"exempted",1.1674367232867
"exemption",3.21318679388651
"exemptions",2.75
"exercisability",1
"exercisable",3.67079262891592
"exercise",4.15719723343052
"exercise”",0
"exercised",4.26877704877743
"exercises",3.49366068968819
"exercising",4.56401702763234
"exert",0
"exh",0
"exhaust",1.58496250072116
"exhausted",2
"exhausting",0
"exhaustive",1
"exhibit",4.8188848452831
"exhibited",1.58496250072116
"exhibition",0
"exhibitions",0
"exhibits",4.35537964885317
"exist",4.07055209855741
"existed",3.03063906222957
"existence",4.35469398754049
"existing",4.81487170516084
"exists",4.18507847002467
"exit",1.79693710975269
"exits",1.5
"exonerate",0
"exp",0
"expand",2.69238060245497
"expanded",1.91829583405449
"expansion",0.874343861990728
"expansions",0.91829583405449
"expect",1.58496250072116
"expectancy",0
"expectation",1.45914791702724
"expectations",1.90563906222957
"expected",3.37015493075718
"expects",1.58496250072116
"expedia",0
"expediency",0
"expedient",1.92192809488736
"expedite",1
"expedited",0.543564443199596
"expeditious",2
"expeditiously",2.92192809488736
"expeditor",0
"expel",1.91829583405449
"expend",0
"expended",1.92192809488736
"expenditure",2.65354429703057
"expenditures",3.61333731404531
"expenditures”",0
"expends",0
"expense",4.56043514177859
"expenses",5.08233702605379
"expensing",0
"expensive",0
"experience",3.82088885135019
"experienced",2.58496250072116
"experiences",0
"experiment",0
"experimental",0
"expert",2.16264411804726
"expertise",2.23592635062903
"experts",2.65282575549396
"expiation",0
"expiration",4.49380477385212
"expire",3.55034070954639
"expired",2.97057309581169
"expires",2.73215889136457
"expiring",2.52164063634332
"expiry",1.14883485428092
"explain",0
"explained",1
"explains",0
"explanation",2.52164063634332
"explanations",1
"exploit",1.9655962303576
"exploitation",0
"exploited",0
"exploiting",0
"explore",0
"explosion",2.32192809488736
"explosions",0
"explosive",2
"explosives",1.5
"export",1.4373770511116
"exported",0
"exports",0
"expose",0.59072391864065
"exposed",2.32192809488736
"exposure",1.16202681971552
"exposures",0
"express",5.10763918712078
"expressed",3.76233742861757
"expressing",1
"expression",2.25162916738782
"expressions",1.58496250072116
"expressly",5.16438026806368
"expressway",1.58496250072116
"expropriation",0
"extend",4.20246282710435
"extendable",0
"extended",3.91958656398192
"extending",2.84643934467102
"extends",3.27761343681912
"extension",3.98402335208796
"extensions",4.2441509398185
"extensive",2
"extent",4.84188709374727
"extenuating",0
"exterior",2.94733374168127
"extermination",1
"external",2.25162916738782
"extinguish",1.58496250072116
"extinguished",1
"extinguishers",0
"extra",2.19715972342415
"extract",0
"extraction",0
"extracts",2.25162916738782
"extraneous",0
"extraordinary",2.97460175271458
"extras",0
"extremely",1.92192809488736
"eye",1.92192809488736
"eyebrow",0.986426728730842
"faa",0
"fabricating",0
"fabrication",1.45914791702724
"fabs",0
"façade",0
"face",3.0146939516467
"facebook",0
"facial",0
"facie",1
"facilitate",3.89629152904593
